@RELATION weka

@ATTRIBUTE doc		STRING
@ATTRIBUTE classX	{0.0, 1.0}

@DATA
"tendentious wacky uptight black gay powderblue elderly budge wont white faaaaaabulous big clunky brady stay evoke hear special ill walk confused trained burly real homosexuality straight amazing irrational attend loose agapeso wonderful traditional black crappy highlyeffeminate gay simple prevent bad youd stand quaint buy homosexualityand right drunk commiserate little relic bygone gay uptight straight understand naivet extreme messageladen outdated great past offensive female willing drunk check bad cheesy good ",1.0
"wimpy glamorous high digicorp wimpy morgan unhappy miserable suburban suppose high morgan beautiful doublecrossed double beautiful mysterious foster morgan alive nifty suspenseful best alive horrible brainwash creepy frightening apparent wimpy bad incredible crazy good recommend ",1.0
"stewart budapest charming romantic likable eagertoplease romantic explain dont recent original mandatory think little ",1.0
"brisk slow middle good able different humorous ok new potential hard average run daniel good young ok adequate average saythat new best incredible best make enjoyable recommend endingagainleave disappointed ",1.0
"basic mileshour ask surviveshe competent plenty followthis constant happy bad lush beautiful plenty convoluted good cute shes plenty explicit nude female great bloody good fantastic miserable ok good bad recommend stupid basic ",1.0
"professional dont great czech know fabulous unable work try compare wouldnt unfair compare standard unique create mixed live masterful easy good great let usual expressionless engaging refreshing great ",1.0
"begin happen special normal particular new normal lovestory normal different short central destroy simple boring known sure know happen forget ",1.0
"chinese decide new big tony tony big accept secure new asian bloody necessary effective hard yearold minute big simon favorite kong best tony best best heroic best ",1.0
"long good canadian second real outlandish typical true possibleif canadian seek big good ",1.0
"red regular funeral red sit right weak hearted possible excellent right intelligent sexy cautious scary horrifying amazing bad widen excellent ",1.0
"keen disappointed little surprised available uncomfortable segue right main young britishborn eastindian professional traditional rich nice future multicultural interesting explore different great slowmo ",1.0
"carefree dare sentimental soft runaway complete homeless innocent favorite chinatown simultaneous troublesome nighttime make usual daily black hapless minor admirable little ",1.0
"legendary illustrious token moody gothic spry dignified morteval elderly eccentric petty greedy nocount creepy hateful bumped lethal lifesized onetime mexican ravishing sole likable female clunky nondirection trite ugly ridiculous gross fat right miniature overwrought morbid lousy cheesy mild poor rousing fiery awful lemon certain cruddy amusing ratty real campy ",1.0
"excellent unloved single viewable private british special unfortunate ian nuanced superb best young superb conflicted traitorous mercurial tragic fateful personal great ",1.0
"heartrending photographed madethe blind strongest hilarious tragic inhospitable warm membersthe intercut general biggest capable human ",1.0
"good americanised turkish nice mysterious miserable win different danish different non indigenous large danish immigrant different ",1.0
"true modern comic old sure authentic madonnas musical major ive finest onscreen sure ",1.0
"favorite rich classy excellent beautiful musical intelligent novel reminiscent classic young vulnerable supernatural old creepy macabre new york happy outgoing conflicted troubled teenage degenerate toss second married beauplayed slimy live spacious old located montague real interested rental logan elderly blind logical blind look lesbian dangelo uncomfortable welcome mental physical start deteriorate splitting logan disturbed nightly loud dumbstruck blind nocturnal cancerriddled dead denouement biblical prepped catholic assume important invisible turn quirky different competent sympathetic ",1.0
"chinese muni hammy wrong childlike simple right impressed graphic grim ",1.0
"efficient confucian old brash young greedy modern final strange believe big greedy chinese martial fest hk main british introduce sir sorry local amusing long ",1.0
"good intact frederic fantastical small simple mighty unwanted resident huge brute immense gentle giant cunning incipient common idyllic free rich detailed eyepopping behold boring photorealistic nonexistent easy awe usual finale usual local simple let ",1.0
"deep biblical susan best know understand compelling beautiful real human nigh powerful authoritative real believable best ",1.0
"expatriated french good rural french sostrong natural great strongest privileged eldest youngest hide explore willing ",1.0
"win bad wouldnt special close extraterrestrial purple special remarkable didnt purple best wasnt best single purple spectacular abusive danny special great hadnt terrific rotten welldeserved best best half purple strong hard nominating best private best special purple remarkable ",1.0
"funny frank entertaining perform tremendous fortunate swedish ",1.0
"illudere verb play cruel elaborate intelligent absurd vain personal raw personal social able bored surprising novel main redeem novel understand grotesque comical decent human introduce superb excellent laughable bitter ",1.0
"good early lucky tangible yearsno accurate comeout easy low best possible memorable intense late sexual frisky aftergame little casual unexpected overall nice young cindy fresh uniform uniform towne gittes towne certain black ",1.0
"original common new middle original middle unexpected determine definite ",1.0
"frank biographical strong strong left macarthur west highest scholastic average young final kabosh new york subject famous desperate japanese bataan win dan best menfdr aristocratic devious unusual scheming little macarthur potential rival blunt truman relieved insubordinate write ive eloquent japanese joint dont ",1.0
"horrible covered theatrical avco uncut english ebay avco uncovered charter uncut chained incomplete whipping remove sexual unusual delirious graphic likely waldemar slow explain later naked uncut complete naked similar certain drunk bad atrocious english waldemar bloody grotesque original uncut wildest outrageous unmatched clothed scan incorrect concrete complete decent perfect uncut english english english ",1.0
"ok good alright wet strong english good excellent juliet frank churchill absentmy biggest lush thisdespite recommend ",1.0
"cheesy great great wellthe aerial best veteran sure ",1.0
"amazing judicial tremendous desperate multiple multiple legal religiousethnic strong differencethis rare inspiring little passionate wide ",1.0
"strange decent good lovely ",1.0
"create classic western real entertaining spectacular real gary wild ontargetwe commercial let ",1.0
"splendid idyllic british chirpy powerful ready ",1.0
"secret astonishing animated limited limited visual young heroic dark late irish overrun brute equivalent east narrative parable create stern protect outer inner creative complete difficult divulgewhat imaginative greatest west flat abstract original noteworthy pet feline animated abstract excellent decorative dramatic characteristic dark wondrous animated secret historical depict archetypal secret numinous true stray pedantic historical secret arent probable welldesigned individuated universal irish best understand visual different magnificent historical visual animated dark secret perennial preachy christian live creative visual andrei great russian secret visual creative profound young old think modest lifeaffirming stylized secret classic ",1.0
"depressing bad willing heartbreaking chinese depressing tough prepared negative persistent talented real european asian obvious muni wrong ",1.0
"little video favorite hadnt remember don surprised new delightful memorable look hard dont detract little mistyeyed believable little grownup worth ",1.0
"remember funny antithesis dense seduced gorgeous good big ",1.0
"definitive ",1.0
"wry directorial niros young key key old similar fatherly titular thankful old nuanced wouldnt superb moulded powerful long blue let hope wait great forgettable standard intelligent bryant significant interesting doesnt attractive youll coldest isnt good small entire entire equivalent interesting difficult showy slow dull nuanced antwone big explosive plotless excellent steady ",1.0
"phantom siodmak universal alan nasty drown local similar emotional sure helpless flimsiest judicial loyal sympathetic real woolrichs schizophrenic black black black worn feverish sorry phantom sound noir preeminent cross paired great mental multiple phantom noir early wet expressionistic discordant light terrific subject relative little hammy alan high weak good beautiful delirious chase stop real good ",1.0
"mindless corny small special decent ofevent mad tell end big ",1.0
"girardot ive funny fresh great wonderful walthal impressive sure great big old terrific breezy lowe silly clinical evil old obvious overall best good darn william powell long hydewhite similar different worth excitingthough impossible ",1.0
"typical unusual raw amateurish surreal typical present slow indiscernible close distraught oblivious dark great short usual unanswered brilliant sony ",1.0
"questionable best ive fascinating absorb chase willing future compelling true recommend ",1.0
"taboo major grainy amazing human fail independent view gender human recommend independent fearless ",1.0
"great nic postdont judicious good bad cold effective depressive likeable einstein excellent doesnt attractive true adequate workable intelligent vague insubstantial little modest acceptable passable excellent overall ",1.0
"live best rolebest glad wide real ",1.0
"black white good ",1.0
"italian happy disturbed jealous radical long big great ",1.0
"result greatest subsaharan additional grim personal french young fictional common loving oneyear old teenage withhold youngest old young ill sad meet gay riveting uncomfortable physical close brilliant young american close harsh real ",1.0
"old sleep rattled worth adult able ",1.0
"erich perfect toronto international shaped ironic tragic french firsthand heady dangerous revolutiontrue earliest french new conservative late romantic little dont old short human bad good foremost human capable human provocative technological cinematic old digitalall exterior original parisian marveling second psychological say political edgiest young oldest old right young oneslong live long live old long live ",1.0
"victorian married wealthy good perfectionshe cunning innocent frightened charming extraordinary pull gorgeous elegant recommend ",1.0
"political favorite cusack uneven combine best original tonesubsequent watchable bad great potential worthwhile complex usual good bad good good danny best central final end ",1.0
"hard cool angloindian british international traditional sikh dont approve whackedout early okay clich big cool caribbean black ",1.0
"past strange triple heartless real sad wellobserved little excellent fade second fat delightful nighy new neurotic turn super juliet lovely sharp hold selfdestructthe loud clear rear inflated mawkish spinal monty unfair nearest bad blodwyn abouta small ive stiff little aaand spooky ",1.0
"elegant think unparrallel work black white broad critical human distinct sayin unseen ethnic normal forget everlasting close brutal true right id best ive ",1.0
"witty disgusting brash intelligent spoof easy dead best apt ",1.0
"exquisite affable young famous commissary famous sarcastic famous perfect authentic silent ",1.0
"classic sure good funny naked becky imagine single loud funniest happen talented worst underused funny isnt interesting classic bad ",1.0
"malaysian prove fourth simple straightforward convenient twelveyear contrived pretentious astounding orked adult previous lively rebellious british violent sudden mean ready let young impossible real bittersweet naturalistic unfiltered strong minimalistic narrative effective hilarious adulterous early hard justify bizarre emotional teenage interesting independent asian ",1.0
"classical flynn good brilliant exquisite recommend slightest best ",1.0
"recent entertaining breathtaking natural greek interested rich real real proud ",1.0
"raw educational future high sorry great think sorry dont aknowledge ask ",1.0
"famous leftist soviet left wellwatch japanese hellman long united continue minor totalitarian justified jewish sure terrible native know worst philosophythe excellent convincing upright make great best contemptible coulouris good totalitarian ",1.0
"dont vhs wasnt watchable outstanding usual wasnt bad forget right ok hokey scary probable low old plenty old great familiar recognize old recognize little old famous little dorothy unforgettable eastwood high incredible great brambury wonderful great strong worth flimsy possible outer inner worth bad fortunate gifted obtain gifted forget dopey good old enjoy ",1.0
"bizarre scary ",1.0
"try explain uninitiated remarkable elsewelltitle latest doublebreasted arty impressed responseflamin naive young aboriginal ive solid hard hilarious aussie ",1.0
"didnt dead kill arrange strange curious ",1.0
"good new interesting clever short future unknown light huge double numerous entertaining certain ageand smart eager excel norment good believe capable obvious worried say ass heavy subject pleased hed worth ask future great powerful obsolete short havent interesting yearld duncan unclean common able young puritan able recover common happen curious enjoy unexpected common sad interesting final touching cheerful great ",1.0
"disagree entire stunning scottish best difficult poignant big strong standard polished real gaelic recent scottish real key convincing beautifulseachd second second feed stunning nonnormal seachd distinctive memorable ",1.0
"naked strict naked naked moral naked true suffer artistic think great artistic worth great ",1.0
"enjoyable indie ive past hard cross eyed imdb writerbecause unique rare wellwritten welldirected welledited wellacted best clever artistic poignant ",1.0
"great fictionalized legendary worldrenowned glorious odd unlikely high dramatic dramatic remarkable standard golden famous long earthquakeinstead dorothy true massive caruso married dorothysome lanzas sing high othello dramatic lanzas unique operatic great robust peak short natural genuine lovely sing little ",1.0
"disappointed true best suspect awed susan basic write novel disturbed disloyal dont novel personal intimate central impossible physical real fragmented ethereal filmable real represent novel superficial original tremendous adapt novel sure original virginia dalloway distressed say satisfactory beautiful mixed ultimate novel eventual ",1.0
"funny good favorite hysterical hilarious adorable great didnt funny funny favorite funny ",1.0
"peculiar surrealistic fair manage strange otherworldly clever short dazzling absorb filmanother spectacular lloyd crucial crisp privileged enjoy metropolitan warm noble preserved major unfortunate inaccurate christian contrary clear deliberate generalize christian impossible recommend unfamiliar beforehandthe enjoy good famous himhimand irritating unseen biblical german ",1.0
"think physical think rich golden young asleep turkish coarse smooth scented satin let droning mesmerize ",1.0
"pleasant musical stuck unexpected comedic high artistic familiar menacing logical rathbones help usual droll parttime right rathbone busy funny bad didnt comedic ",1.0
"finest great great topgary good afraid devilish gorgeous soapdish ",1.0
"great superb chinese lucky accurate actual true perfect true create dramatic commercial disney later famous local sichuan male rare interesting good regional operatic related peking master male female chinese come understand female unaware ",1.0
"hong creative unique special fxyeah fine ",1.0
"best comedic come new long resentful danielle new desireless desperate goodnatured onenight previous urban proudest bad embarrassing wellingtonian allimportant oldest desperate common nice expensive nasty parasitic desparate dont middle best new tart dubious bad olympic aware splashed national embarrassed great famous new perform suburban witty spare adult narcisstic sentimental great ",1.0
"old known werent good good luxuriant anderson hot eightiesly sure upset hard tell right ",1.0
"uninformative harsh write say overall make worthwhile doesnt low worth restrictive narrowminded anglocanadian southern brilliant accurate rip good strong proper overall ",1.0
"genteel softly real normal adventurefantasy listbased novel young brutal angry painful beloved powerful purple hard follow little erratic present novel real unable wonderful strong broken danny solid superior unheralded single black crushed terrible upper white good adolph caesar frank marshall melodic original sound consummate glorious southern true bring tear unfortunate left unanswered ",1.0
"low dont bad bad cheesy lowbudget important bad bad cheesy shouldnt periodanyway bad animal lame care hilarious hilarious hilarious bad good cheesy lowbudget hilarious bad good cheesy lowbudget huge hilarious hilarious dont alive moviedetective snort cold medicinedetective insane cold medicinedetective random rambling ",1.0
"peabody awesome technical available interested eugene technical amazing truman ",1.0
"excellent female female sue great great striking powerful great sue awesome priceless female famous talented best boring interesting ",1.0
"biggest expensive great sad single big wonderful ",1.0
"great deceit female shrink primitive unfortunate ",1.0
"good original biggest nice original new original excellent best comic awkward embarrassing strong original create original original ",1.0
"join unique different loud erotic young erotic funny typical stop ",1.0
"new berlin ",1.0
"ive big good sportsrelated interesting foster good bad mental foster refreshing biological active heartwrenching heartmelting believable emotional tear ",1.0
"short new animated little disappointed wonderful perfect dont sing cute major uncalled sappy great good small right right offensive small bad ",1.0
"basic crappy original basic enjoy great superb think sexy ",1.0
"wonderful good nice strange good great unacceptable possible make riget different sure mayble little stupid make small create puppetdriven real possible alive big good average consider normal important understandable possible create great dreamsi curious ",1.0
"famous wild sexual enjoyable hippiest beautiful famous happy enjoyable great ",1.0
"good huge important amazing ironic favorite interesting opposite stargate favorite excited fifth disappointed hear optioned fine amazing come ",1.0
"extra human french hard fing aptnevertheless compelling right right ",1.0
"excellent exciting hardy excellent usual ",1.0
"funny dont funny awardwinning englebert ",1.0
"second london old good comedic good bad tiresome greatthey fantastic appealing believable allen appealthere nice real unsure ",1.0
"softcore expedient serial indian futuristicnurse mayoral hightop fade remember make positive entertain early nodandwink add ",1.0
"excellent feel proud little hungarian big local local superb ",1.0
"rough strong disturbing terrible commercial beat glossy bad say best good half ive ironic weakest written excellent naval excellent final facial good good little adorable sure bring right bad boyish perfect aish mad hot worst aish boring boring poor ",1.0
"bad straight doubt bored old routine desperate bad married femme moral theological phillip conflicted vengeful doesnt awkward unanswerable loving choose wreak innocent guilty surprising sexual wivesunlike interesting centre interesting gormless overlong susan pure pro theatrical naturalistic moores intransigent unreconstructed david threatening soft doesnt moral free strong biblical new good hokey candid short sole ",1.0
"come isnt fight come second interesting natural alive small cramped intricate interesting key cool alive interesting random cool interesting ecstatic naysay sure different slow ",1.0
"excellent live realistic intense straightforward unrealistic italian safe farfetched want dead trust lead right bourne good solid play excellent recommend ",1.0
"good ive important superb sure ",1.0
"dry strong able ive ashamed twiceive nausicaa noncut premature naivepositive explicitmoralist takahata grave brilliant combined interwoven transcendental single main overcome perfect black able gravitational flic unconscious main grand serene unforgettable melancholy sombre clear mere able white light dry numb technicallyimagewise recent overwhelming undisputed second simple miss die huge ",1.0
"superb suitable youngest unfortunate english impossible timeperiod modern ubiquitous chinese drab everyday dazzling sezuan celebratory imminent past yearsbut late early huge central old vital various young think united ",1.0
"glad blend british middleaged maintain grow make hilarious touching ",1.0
"smallbut potent layered americamakes stop northbound recognizable respectable marichal fine respectable english vulgar nudityadult lurid ",1.0
"urban naturalistic realistic believable high luxurious small comparable teen peer shrink high major feminist riveting drag cheap rocky complex interesting ",1.0
"big amazing little daysenior high look big best little fuzzy colorful recommend huge incredible little ",1.0
"original think great wonderful dramtic great ",1.0
"grey bizarre onassiseccentric live east long dry little beautiful promising futurelive amuse amazing special dysfunctional classic ",1.0
"natural light great real true midlife morris australian native humble psychological average real onscreen buy nice open long worth ",1.0
"wanted cold hard tell awful grateful sure certain grateful save dont wasnt typical outside ok honest high ready new second pentagon know dothe second real raw human didnt know new grateful know feel heartsas tragic didnt evil normal happen happen second middle east good thank ",1.0
"eric new fresh look accomplished stuck best funniest sad biggest save final deserve let know finale huge eric married interesting happen long big best eric best ",1.0
"classic long ",1.0
"great great available ",1.0
"favorite old late bad new york hard major able poor good correct engaging fascinating amazing major wellknown judy superman red terrific closeup giant extinct good different genderbiased acceptable video new enjoy ",1.0
"great messagea impressive old best upcoming new best best young true real dont glad ",1.0
"hidden deltaquadrant official original deep dont good green good hidden official ",1.0
"spectacular amazing believe real light heartbreaking hard joyful depths human perfect feel different recommend change ",1.0
"alan best die convinced save good follow memorable claustrophobic hang blatant sexual good lead likable alan confused innocent left unpleasant stuck doesnt dramatic good great memorable ",1.0
"good funny straightforward excellent good adept romantic great good good good unpopular romantic implausible great implausible implausible ready weird ive kidman ",1.0
"painful redblooded male single turn selfindulgent elderly bedridden possible discomfited strong illfated mysterious fateful youthful married serial central true true endure realize imperfect realistic subtle aged interesting mind past ethereal obvious real past claire beautiful tall captivating climactic talk let major minor say negative dancys utter total lovable drunk rich great scared stiff doesnt themin likely rental die hard secret didnt ",1.0
"silent beautiful hard pure silent wordless narrative single save disconcerting french english sound final ceaseless soundless unsurprised new sunny german fluent enjoyable different sturdy young unexpected second rich humblyborn true confident manipulate correct young happy right social humdrum routine married wild simple true distorted joyous miraculous worst young lavish rival undying endless powerful unresisting unknowing celluloid unconscious main jarring serve licensed ugly ungainly tormented uncertain ingratiating fruitless social typical gifted popular expose comic comic nasty inept easy little chancemet regular ",1.0
"colorful dark clean awesome special electric cartoony connect unlikely magic skeptic little write good send good make sexy huge ok clever insert lonely general interestanonymous dirty sexy hot good unpretentious ",1.0
"stilted main sudden philip carey unworthy standard melodramasensitive laterashley southern decent rough surprised make selfish cockney doesalthough memorable human sort brash grating ethereal understandable dimensional evoke ill philip decent think philip fine philip norah dismiss thismost effective norah sensible compete mildreds deserving hollow eccentric aristocratic eraa ",1.0
"excellent lose special true little mixed fresh light funny stop funny old european recommend devinesaving ",1.0
"best washington long late good autobiographical novel tight good new york seek old ruin imagine financial heed wise cynical sardonic double correct worth hard soft spur little popular public light armed poetrythis little pink hamhe straight onejim suspicious blameless best open makeshift delightful various distinct red blue polite single blue wide nononsense ",1.0
"unique brilliant combined narrative eerie unforgettable cinematic guilty great highest ",1.0
"exciting disney amazing impossible worth different different natural expect magical dynamic natural quintessential mere curious ",1.0
"loose close certain outstanding diegetic nondiegetic political little emotional finest filmnoir neorealist sicas famous neorealist familiar lowerclass tend gian italian domenico lovely ugly sad dark romantic effective compelling truthful nearoperatic key brilliant striking ",1.0
"strangest major arthouse native subversive mere mainstream fourth transitional fourth clear famous impoverished major relative know realistic surreal advertised separate clear untrue didnt happen fourth surreal disturbing easy havent unreal careful atmospheric dont fourth funny catholic female biblical remove important erotic fourth bring certain subtle subtle visual make unique satisfying cinematic ",1.0
"vivacious irrepressible green unlookedfor lonely old wellloved wonderful little excellent literate professional fourteenyearold new entertaining boundless quick stern enjoy sharptongued unbend childlike australian finest shy gentle fetch stationtom brown prickly nosy avonleas ",1.0
"quirky little quirky young famous charming real worthwhilealan terrific funny touching ",1.0
"ive againthough novel satisfactory wellportrayed novel silly perfect beautiful par good create snobbish likable strong good easy firths happen novel fitting cold unpleasant frank churchill novel strange beautiful elaborate ",1.0
"good wanted wrong happy ",1.0
"hard uncut strangest ive artistic unusual ive confusing good memorable main new usual interesting didnt develop real emotional sad tragic obvious main breakingdown endearing naive optimistic begin feel filmi high groundbreaking typical arthouse tired unusual personal dreamlike long cheap interesting joe abused relevant young religious puzzling homosexual general encounter lonely old little main storycertainly technical finest feel revolutionary touching simple sentimental hard strange psychedelic ",1.0
"know great mean cmon hilarious wont fake angel right hilarious danny old die real numerous blind stupid ",1.0
"cool cool good platooneric ",1.0
"explore mesmerizing ok elongate animal female polar real daring small small africa forthegill animal magnetic skilled wondrous animal instinctive global polar good ",1.0
"different think handicapped ultimate emotional feel human good foreign interesting popular foreign similar ",1.0
"good scary huge ",1.0
"common main hustle bustle popular korean epiphanal slow contemplative definitive ",1.0
"mad let glad moviei little little little little ",1.0
"expressive main clear certain tortured tortured perverted frightening happy happy ",1.0
"good direct afraid good new latest nonkiller old remove demonic real little amateurish blair real plasticy digital wrong dont technical doesnt disappointed ",1.0
"grey good thomas fatal romantic angel long tragic evil aforementioned evil humorous intense psychological extreme grey solid original alive live great galactic final subsequent singular particular best ",1.0
"prepared turgid talky pleased fastpaced moral excellent finch amazing special beautiful majestic taliban taylor beautiful sympathetic gaspy trained long distinct fast beautiful ",1.0
"aidsrelated gayrelated available hessed amazing frontal male wishful gay little weak sparse little throw cute gay isreali great unknown female english nice gay good ",1.0
"familiar essential appealing delectable animated captivating majestic gorgeous lovely enhance predictable titular wicked dreadful present formidable strong balanced serene musical appealing cinderella care overall wonderful half ",1.0
"hitchcockthis guilty know nice tight little hasty stick wellcast uncomfortable perfect ",1.0
"awesome funny talented rough best long refreshing true nice funny good good good simple slow real urban ",1.0
"wonderful exist technical small rural old serene intense hollow flashy storieseven complicated turn ",1.0
"old classic noir critical irish fateful beautiful central married brilliant criminal apparent sound male lovely eminent blond cohn known red welless independent grisby slimy private good noir glamorous best blond final recommend controlled ",1.0
"aspiring dark possible subject tend big initial rid record burnt potential ",1.0
"comic original flattop blank big popular tracystyle daffy liberal fair excellent danny original interesting high weird suspenseful memorable big impeccable great great forsythe beatty interesting tracy past fit original vibrant buy sorry ",1.0
"believe good ",1.0
"beautiful young wicked wont let help handsome charming true live aftercinderella huge wellwritten memorable great tell favorite true recent best appreciate ",1.0
"sound great proper essential vital biggest true creepy great disappointing mediocre english ",1.0
"okay second profound independent mean artsy feel good good dont wouldnt cute entertaining true enjoy feel good deep big dramatic ",1.0
"typical wonderful macready witty female young witty macready macready real foch dont ",1.0
"brilliant early final cinematic fast paced new latest good ",1.0
"great good basic smart tricky old amazing fake good basic want great half havent ",1.0
"dark supernatural new fresh look hopeless small narrow difficult local powerful effective old simple nice dark cute gross bawdy clever best terrific nice special ",1.0
"easy impressive good tandem ",1.0
"old strong slutty vicious believable spellbinding weak strong dont hold win shocking unwed multiple vicious dated excellent dirty greatest ",1.0
"lucky attend screening enjoyable heaviest different separate saccharine best redundant longwinded rest eccentric favourite introspective wellplaced recreate accessible muted transparent deadpan clever unique filtered different dark horrorgothic elijah bloodred bleed refreshing eerie visual single favourite favourite favourite lovely blind annoying fastpaced kinetic repetitive adrenalinepumping powerful negative sant disposable little lonely inyourface french quirky insulting international poor fluffy wrapup wellcrafted crisp amusing suppose personal unavoidable favourite favourite pretentious ",1.0
"complex early gay gay homosexual gay odd true incredible homosexual gay devastating medical political social amazing arent darn good dont gay gay ",1.0
"great grim economic occasional temporary occasional hold attuned pleasant harsh juvenile create comic fantastic super exciting comic appear colorful ancestral comic visualnarrative direct inexpensive great edgar savage fullblooded super extraordinary super keen protean super small free expert electrical savage popular middle good old new fresh stylized muscular successful savage venerable real veteran special savage far perfect female lead veteran villainous fine incredible short main great early individual unexpected unlikely miniature small little special good remember straight old good let final accept little mrpal let hang real neat little pulpcomicserial likable lovable serial enjoyable savage ",1.0
"golden unique happen great ronald colman favorite certain different kind ",1.0
"funny amusing funny worth theatrical straight crappy little new theatrical spoof simbas nathan original guillaume hilarious grumpy uncleso enjoyable ",1.0
"strange flat reminiscent neverending eat awayfunny huge fiery big taciturn annoying greedy entrepreneurial strange useless talkative little die horrible painful early great bad simple imagine stop defeat real cute ",1.0
"hot memorable genuine hot nasty devoid ",1.0
"pretend watch young sweet memorable recommend enjoyable right ",1.0
"video average timeless universal personal engaging believe rampant think jaded able sheer ",1.0
"prestigious golden democratic machinationstony big happen bad big simon infernal tony sing fascinating ",1.0
"popular entre mismatched machinations wicked proper rich comic big old previous apocalypse rudolph interesting male lead marshall great scandalous rekindle outraged political frank special primitive remarkable look similar special rave silent subtle remarkable work fitting big ",1.0
"single criminal noir brilliant narrative gorgeous derivative good bad past suspend unbelievable suffer low cheesy dont mean cheesy turn pure willing good novel cinematic cool ",1.0
"cold riveting new interesting previous second recent biopic true new timely modern cold notable stunning black white american fine crackerjack superb early mundane daily innocent hapless rich brooding riveting real great harrowing graphic robert blakes eerie sympathetic brutal horrible speak classic perfect gritty superb flawless erase stark blakes pallid actual cold slow middle forced social tackedon political secondary compelling mad ",1.0
"classic filthy excessive stewart special favorite feel dont think wrong different enjoyable ashamed thisor classic ",1.0
"mean good real best best die hard second extravaganzarent private painoutrageous endurance ",1.0
"terrible idle great real good start die disappear frustrating great great good excellent great recommend old enjoyable ",1.0
"close intimate limited inner emotional explore implicit overt participate novel provide past flourish leisurely personal high nonverbal farthe long discreet dramatic large subtle drab different ethereal blue emerald eternal gray cold misty pristine dirty political sociopolitical twentieth concerned albanian political political hang ancestral political clear political geographical cultural political personal twentieth bring hellenic border greek italian combined homeric dantesque greek political brilliant brilliant lowest low odysseyof wrong contemporary thematic dantes leave forget religious greek religious fellow human christlike final yellow byzantine work appear religious orthodox solitary fervent true convincing left ambiguous important optimistic possible impenetrable final reverse alexander ",1.0
"sure sappy sweet entertaining stunning short radiant sure british creep british ideal nice married significant unlikely unrealistic humdrum daily short enter good sentimental sentimental plenty unseen super magnificent ",1.0
"frustrated middleaged maxwell fine stand naggy frigid bitchy poor newborn lascivious lesbian teenage dishy adulterous lovely freespirited sexy yummy blonde bitter venomous psychotic frightening tessier mclarty seamy entertaining delicious female softcore raw peg wildneasy uninhibited tight welcome definite groovy impromptu complete hot naked funky gnarly stark black white extra gritty sleazy best marvelous charming freshfaced sweet bubbly captivating total trashy ",1.0
"write venice cancelated build best ive recent intelligent mindless reconsider ",1.0
